"","csa_code_origin","csa_code_dest","CarrID","yearq","Segid","seg_entry_tplus1","Dist","Dist_sq","pop_origin","pop_dest","ln2002pssgrdens","seg_entry_t","nonstop_comps","orig_share","dest_share","any_origin","any_dest","scheduled_flights","fstseats","busseats","ecoseats","scheduled_aircraft_max_take_off_weight","scheduled_aircraft_hold_volume","scheduled_aircraft_range_stat_miles","capacity_t","capacity_tplus1"
"123",1,12,3,15,11,0,0.676410871239519,0.457531666731005,817973,12713660,12.035367357876,0,3,0,0.0102683597505677,0,1,0,0,0,0,0,0,0,0,0
"124",1,12,4,15,11,0,0.676410871239519,0.457531666731005,817973,12713660,12.035367357876,0,3,0.0268242614191623,0.0551054179894511,1,1,0,0,0,0,0,0,0,0,0
"125",1,12,5,15,11,1,0.676410871239519,0.457531666731005,817973,12713660,12.035367357876,1,3,0.0730201870088416,0.0905381146358524,1,1,0,0,0,0,0,0,0,0,0
"126",1,12,6,15,11,0,0.676410871239519,0.457531666731005,817973,12713660,12.035367357876,0,3,0.0612133022615695,0.0471283957741237,1,1,0,0,0,0,0,0,0,0,0
"127",1,12,7,15,11,0,0.676410871239519,0.457531666731005,817973,12713660,12.035367357876,0,3,0.0277575708511389,0.0359273025460788,1,1,0,0,0,0,0,0,0,0,0
"128",1,12,8,15,11,1,0.676410871239519,0.457531666731005,817973,12713660,12.035367357876,1,3,0.131846437637698,0.110250971637428,1,1,15,0,0,84.8,39.8,20,2583,15,18
"129",1,12,9,15,11,0,0.676410871239519,0.457531666731005,817973,12713660,12.035367357876,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",1,12,10,15,11,1,0.676410871239519,0.457531666731005,817973,12713660,12.035367357876,1,3,0.0291488611196244,0.160622184420467,1,1,9,0,0,50,23,14,2307,9,9
"131",1,12,11,15,11,0,0.676410871239519,0.457531666731005,817973,12713660,12.035367357876,1,3,0.000485737250842812,0.0152427780749232,1,1,0,0,0,0,0,0,0,0,0
"132",1,12,12,15,11,1,0.676410871239519,0.457531666731005,817973,12713660,12.035367357876,1,3,0.527414663482389,0.257756846884986,1,1,12,0,0,137,64.5,29.25,2897,12,12
"133",1,13,1,15,12,0,1.64675675803359,2.71180782012929,817973,7927060,10.450452222918,0,6,0.122288978968734,0.083063359952648,1,1,0,0,0,0,0,0,0,0,0
"134",1,13,2,15,12,0,1.64675675803359,2.71180782012929,817973,7927060,10.450452222918,0,6,0,0.00545217862756894,0,1,0,0,0,0,0,0,0,0,0
"135",1,13,3,15,12,0,1.64675675803359,2.71180782012929,817973,7927060,10.450452222918,0,6,0,0.0199065696015836,0,1,0,0,0,0,0,0,0,0,0
"136",1,13,4,15,12,0,1.64675675803359,2.71180782012929,817973,7927060,10.450452222918,0,6,0.0268242614191623,0.0228753165693105,1,1,0,0,0,0,0,0,0,0,0
"137",1,13,5,15,12,0,1.64675675803359,2.71180782012929,817973,7927060,10.450452222918,0,6,0.0730201870088416,0.0686403530051039,1,1,0,0,0,0,0,0,0,0,0
"138",1,13,6,15,12,0,1.64675675803359,2.71180782012929,817973,7927060,10.450452222918,0,6,0.0612133022615695,0.0181668029168041,1,1,0,0,0,0,0,0,0,0,0
"139",1,13,7,15,12,0,1.64675675803359,2.71180782012929,817973,7927060,10.450452222918,0,6,0.0277575708511389,0.0536380302839178,1,1,0,0,0,0,0,0,0,0,0
"140",1,13,8,15,12,0,1.64675675803359,2.71180782012929,817973,7927060,10.450452222918,0,6,0.131846437637698,0.233035038521997,1,1,0,0,0,0,0,0,0,0,0
"141",1,13,9,15,12,0,1.64675675803359,2.71180782012929,817973,7927060,10.450452222918,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",1,13,10,15,12,1,1.64675675803359,2.71180782012929,817973,7927060,10.450452222918,1,6,0.0291488611196244,0.176650981728735,1,1,0,0,0,0,0,0,0,0,0
"143",1,13,11,15,12,0,1.64675675803359,2.71180782012929,817973,7927060,10.450452222918,0,6,0.000485737250842812,0.0975871899803994,1,1,0,0,0,0,0,0,0,0,0
"144",1,13,12,15,12,1,1.64675675803359,2.71180782012929,817973,7927060,10.450452222918,1,6,0.527414663482389,0.220984178811931,1,1,0,0,0,0,0,0,0,0,0
"145",1,14,1,15,13,0,1.40752953345732,1.98113938755457,817973,2106336,5.78996017089725,0,1,0.122288978968734,0.000287164081138053,1,1,0,0,0,0,0,0,0,0,0
"146",1,14,2,15,13,0,1.40752953345732,1.98113938755457,817973,2106336,5.78996017089725,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",1,14,3,15,13,0,1.40752953345732,1.98113938755457,817973,2106336,5.78996017089725,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",1,14,4,15,13,0,1.40752953345732,1.98113938755457,817973,2106336,5.78996017089725,0,1,0.0268242614191623,0.331892253512238,1,1,0,0,0,0,0,0,0,0,0
"149",1,14,5,15,13,0,1.40752953345732,1.98113938755457,817973,2106336,5.78996017089725,0,1,0.0730201870088416,0.0207988841624276,1,1,0,0,0,0,0,0,0,0,0
